doc_id,doc_size_kb,retrieval_time_sec
0,1,0.041231393814086914
1,100,0.16086101531982422
2,500,0.22482872009277344
3,1000,0.2856101989746094
4,1500,0.3483917713165283
5,2000,0.5257821083068848
6,2500,0.6908619403839111
7,3000,0.7521927356719971
8,3500,0.9171345233917236
9,4000,1.048192024230957
10,4500,1.178025722503662
11,5000,1.3122661113739014
12,5500,1.4440343379974365
13,6000,1.7085583209991455
14,6500,1.709343671798706
15,7000,1.8419060707092285
16,7500,1.9687247276306152
17,8000,2.1020500659942627
18,8500,2.2284743785858154
19,9000,2.3639650344848633
20,9500,2.6212010383605957
21,10000,2.624300479888916
22,10500,2.9190688133239746
23,11000,2.9118740558624268
24,11500,3.0190465450286865
25,12000,3.2141284942626953
26,12500,3.384589672088623
27,13000,3.670241594314575
28,13500,3.5451362133026123
29,14000,3.679617404937744
30,14500,3.811190605163574
31,15000,4.062686443328857
32,15500,4.102771759033203
33,16000,4.193912506103516
